Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Celsius,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
9160,10328498,Donner,25.425,-80.161,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,Mid-channel patch reef south,3920.39,Sometimes,0.1636,58.01,15,9,2005,4.05,nd,nd,nd,51.40,300.56,29.47,302.62,299.73,294.44,305.55,2.47,8,0.35,1,0,-4.47,3.18,3,3.79,19,6,1.53,2.76,19.09,2.31,-0.57,2.47,-8.75,2.35,-3.45,0,0.89,4,0,0,0.61,5.15,0.18,9/15/2005,nd,nd,nd
8952,10328272,Donner,25.332,-80.181,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,Low-relief hard-bottom SW of,6212.5,Exposed,0.1093,55.99,15,8,2005,3.75,nd,nd,nd,52.00,302.4,29.98,303.13,299.75,294.45,305.11,2.38,3,0.06,1,0,-3.96,2.6,3,4.13,20,5,1.93,2.49,14.31,1.96,0.06,2.38,-8.61,2.03,-3.31,0,0.93,4,0,0,0.62,5.17,0.18,8/15/2005,nd,nd,nd
9162,10328500,Donner,25.998,-80.102,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Broward County,A1013,1415.91,Exposed,0.0609,51.35,15,9,2005,8.3,nd,nd,nd,52.20,300.9,29.33,302.48,299.74,294.13,304.66,2.14,7,0.33,1,0,-3.14,2.6,3,4.12,19,4,3.85,2.2,11.44,1.42,-0.14,2.14,-8.5,2.02,-2.88,2,0.87,3,0,3.84,0.63,4.16,0.17,9/15/2005,nd,nd,nd
8578,10327871,Donner,25.975,-80.105,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,B1010,1320,Exposed,0.0609,51.35,15,9,2005,9.9,nd,nd,nd,53.30,300.89,29.39,302.54,299.75,294.89,304.67,2.13,7,0.44,1,0,-3.25,2.59,3,4.04,18,4,4.19,2.14,12.2,1.45,-0.05,2.13,-7.69,2.07,-2.83,1,1.05,5,0,2.08,0.67,5.77,0.17,9/15/2005,nd,nd,nd
8953,10328273,Donner,25.598,-80.094,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,Low-relief spur and groove at,9724.38,Exposed,0.0999,57.13,15,8,2005,9.6,nd,nd,nd,54.30,302.39,30.85,304,299.85,294.51,305.52,2.29,3,1,1,0,-3.77,2.56,2,4.13,20,5,1.22,2.42,10.8,1.9,1,2.29,-8.48,2.51,-3.14,0,0.98,4,0,0,0.65,4.57,0.19,8/15/2005,nd,nd,nd
8954,10328274,Donner,25.462,-80.133,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,Offshore patch reef SW,5138.98,Sometimes,0.1491,58.01,15,8,2005,5.85,nd,nd,nd,55.00,302.39,30.92,304.07,299.83,294.48,305.07,2.38,3,0.95,1,0,-4.34,3.09,2,3.85,20,6,1.38,2.57,16.73,2.04,0.95,2.38,-8.63,1.94,-3.28,0,0.91,3,0,0,0.65,4.42,0.17,8/15/2005,nd,nd,nd
9163,10328501,Donner,25.008,-80.424,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,A1142,5287.21,Sometimes,0.1711,60.51,15,9,2005,4,nd,nd,nd,56.30,300.9,29.23,302.38,299.8,293.73,304.86,2.43,7,0,1,0,-3.79,2.8,1,4.21,20,6,0,2.57,14.57,2.18,-0.72,2.43,-9.36,1.75,-3.29,0,0.77,3,0,0,0.51,3.78,0.14,9/15/2005,nd,nd,nd
9164,10328502,Donner,24.501,-81.632,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,A1030,8274.36,Exposed,0.1203,58.42,15,9,2005,2.2,nd,nd,nd,57.10,299.78,28.87,302.02,299.82,291.77,306.04,2.58,8,2.13,3,0,-4.87,6.14,21,3.57,27,20,39.86,14.23,51.07,12.82,2.09,2.58,-8.15,6.1,-0.1,20,3.57,26,19,38.99,13.85,50.25,12.2,9/15/2005,nd,nd,nd
9165,10328503,Donner,24.536,-81.457,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,A1044,8179.06,Exposed,0.0532,58.42,15,9,2005,12.5,nd,nd,nd,57.60,300.9,29.63,302.78,299.82,292.49,306.73,2.65,8,0.29,1,0,-4.45,3.59,3,4.4,22,7,4.2,3.03,15.5,2.71,-0.53,2.65,-10.82,3.4,-3.49,1,1.19,5,1,2.09,1.04,6.32,0.41,9/15/2005,nd,nd,nd
8955,10328275,Donner,25.41,-80.157,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,A2159,4741.47,Sometimes,0.0608,57.28,15,8,2005,2.4,nd,nd,nd,58.60,302.48,30.07,303.22,299.91,294.33,304.84,2.26,3,0.22,1,0,-4.28,2.48,1,4.43,24,5,1.03,2.28,11.65,1.74,0.22,2.26,-8.67,1.83,-3.08,0,0.83,3,0,0,0.61,3.8,0.19,8/15/2005,nd,nd,nd
