EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,50.6,NO,NO,153954,"1,269","306,640",Blackfin Tuna
FINAL,1988,30.9,CAUTION,YES,23043,"9,087","36,999",Blackfin Tuna
FINAL,1989,62.8,NO,NO,46489,0,"103,712",Blackfin Tuna
FINAL,1990,52.9,NO,NO,81859,0,"166,734",Blackfin Tuna
FINAL,1991,34.1,CAUTION,YES,44515,"14,763","74,268",Blackfin Tuna
FINAL,1992,34.3,CAUTION,YES,45008,"14,750","75,266",Blackfin Tuna
FINAL,1993,36.4,CAUTION,YES,95106,"27,254","162,958",Blackfin Tuna
FINAL,1994,27.8,YES,YES,93948,"42,758","145,139",Blackfin Tuna
FINAL,1995,37.4,CAUTION,YES,126318,"33,722","218,914",Blackfin Tuna
FINAL,1996,29,YES,YES,57236,"24,703","89,770",Blackfin Tuna
FINAL,1997,31.8,CAUTION,YES,47245,"17,798","76,693",Blackfin Tuna
FINAL,1998,33,CAUTION,YES,141009,"49,804","232,213",Blackfin Tuna
FINAL,1999,45.3,CAUTION,YES,119191,"13,364","225,018",Blackfin Tuna
FINAL,2000,21,YES,YES,76458,"44,988","107,928",Blackfin Tuna
FINAL,2001,18.7,YES,YES,41556,"26,325","56,787",Blackfin Tuna
FINAL,2002,18.2,YES,YES,63312,"40,727","85,897",Blackfin Tuna
FINAL,2003,32.3,CAUTION,YES,74917,"27,489","122,345",Blackfin Tuna
FINAL,2004,39.6,CAUTION,YES,197062,"44,110","350,014",Blackfin Tuna
FINAL,2005,64.6,NO,NO,56027,0,"126,966",Blackfin Tuna
FINAL,2006,20.5,YES,YES,86591,"51,799","121,383",Blackfin Tuna
FINAL,2007,29,YES,YES,214091,"92,402","335,781",Blackfin Tuna
FINAL,2008,51.6,NO,NO,304144,0,"611,744",Blackfin Tuna
FINAL,2009,29.7,YES,YES,119062,"49,754","188,370",Blackfin Tuna
FINAL,2010,25.5,YES,YES,183719,"91,896","275,541",Blackfin Tuna
FINAL,2011,28.6,YES,YES,260316,"114,393","406,238",Blackfin Tuna
FINAL,2012,31.5,CAUTION,YES,257944,"98,690","417,199",Blackfin Tuna
FINAL,2013,34.9,CAUTION,YES,327108,"103,353","550,863",Blackfin Tuna
FINAL,2014,23.5,YES,YES,178845,"96,469","261,220",Blackfin Tuna
FINAL,2015,15.1,YES,YES,151444,"106,623","196,265",Blackfin Tuna
FINAL,2016,16,YES,YES,199102,"136,664","261,541",Blackfin Tuna
FINAL,2017,18.2,YES,YES,200300,"128,849","271,752",Blackfin Tuna
FINAL,2018,19.9,YES,YES,319372,"194,804","443,940",Blackfin Tuna
