EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,19,YES,YES,792701,497499,1087903,Great Barracuda
FINAL,1988,17.3,YES,YES,607769,401686,813851,Great Barracuda
FINAL,1989,30.3,CAUTION,YES,1682839,683434,2682243,Great Barracuda
FINAL,1990,16.5,YES,YES,1302382,881192,1723572,Great Barracuda
FINAL,1991,17.7,YES,YES,2884562,1883850,3885274,Great Barracuda
FINAL,1992,11.3,YES,YES,1740348,1354896,2125801,Great Barracuda
FINAL,1993,10.5,YES,YES,1403407,1114586,1692228,Great Barracuda
FINAL,1994,10.6,YES,YES,1852670,1467760,2237581,Great Barracuda
FINAL,1995,11.3,YES,YES,1499146,1167115,1831176,Great Barracuda
FINAL,1996,11.3,YES,YES,1259870,980834,1538906,Great Barracuda
FINAL,1997,14.2,YES,YES,909488,656360,1162617,Great Barracuda
FINAL,1998,11.3,YES,YES,1118059,870431,1365686,Great Barracuda
FINAL,1999,8.7,YES,YES,1091104,905049,1277159,Great Barracuda
FINAL,2000,10.8,YES,YES,988829,779514,1198145,Great Barracuda
FINAL,2001,11.5,YES,YES,819649,634900,1004398,Great Barracuda
FINAL,2002,9.4,YES,YES,749098,611084,887112,Great Barracuda
FINAL,2003,11.3,YES,YES,901797,702067,1101528,Great Barracuda
FINAL,2004,14.2,YES,YES,778866,562092,995641,Great Barracuda
FINAL,2005,15.1,YES,YES,431945,304106,559783,Great Barracuda
FINAL,2006,15,YES,YES,588121,415214,761029,Great Barracuda
FINAL,2007,10.6,YES,YES,756348,599209,913486,Great Barracuda
FINAL,2008,15.7,YES,YES,841648,582656,1100640,Great Barracuda
FINAL,2009,17.4,YES,YES,800169,527280,1073059,Great Barracuda
FINAL,2010,16.3,YES,YES,692471,471240,913701,Great Barracuda
FINAL,2011,16.6,YES,YES,461185,311134,611237,Great Barracuda
FINAL,2012,12.9,YES,YES,641162,479050,803273,Great Barracuda
FINAL,2013,12.8,YES,YES,855201,640648,1069753,Great Barracuda
FINAL,2014,18.4,YES,YES,890680,569465,1211895,Great Barracuda
FINAL,2015,15,YES,YES,1106005,780840,1431171,Great Barracuda
FINAL,2016,17,YES,YES,766773,511284,1022262,Great Barracuda
FINAL,2017,14.1,YES,YES,743731,538194,949268,Great Barracuda
FINAL,2018,16,YES,YES,1202214,825200,1579228,Great Barracuda
