EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,41.6,CAUTION,YES,1554152,"286,959","2,821,346",Greater Amberjack
FINAL,1988,23.5,YES,YES,433712,"233,944","633,480",Greater Amberjack
FINAL,1989,43.1,CAUTION,YES,1429797,"221,962","2,637,633",Greater Amberjack
FINAL,1990,32.8,CAUTION,YES,519848,"185,648","854,048",Greater Amberjack
FINAL,1991,24.3,YES,YES,777264,"407,069","1,147,460",Greater Amberjack
FINAL,1992,26.6,YES,YES,952885,"456,089","1,449,681",Greater Amberjack
FINAL,1993,20.1,YES,YES,566217,"343,150","789,284",Greater Amberjack
FINAL,1994,25.3,YES,YES,297961,"150,208","445,714",Greater Amberjack
FINAL,1995,32,CAUTION,YES,176152,"65,670","286,635",Greater Amberjack
FINAL,1996,31.5,CAUTION,YES,265357,"101,526","429,189",Greater Amberjack
FINAL,1997,31.3,CAUTION,YES,203963,"78,836","329,091",Greater Amberjack
FINAL,1998,32,CAUTION,YES,235897,"87,942","383,852",Greater Amberjack
FINAL,1999,14.6,YES,YES,361167,"257,816","464,519",Greater Amberjack
FINAL,2000,36.4,CAUTION,YES,374675,"107,367","641,984",Greater Amberjack
FINAL,2001,26.2,YES,YES,1059300,"515,328","1,603,271",Greater Amberjack
FINAL,2002,17.2,YES,YES,737600,"488,940","986,260",Greater Amberjack
FINAL,2003,20.7,YES,YES,830533,"493,569","1,167,497",Greater Amberjack
FINAL,2004,28.3,YES,YES,625232,"278,428","972,035",Greater Amberjack
FINAL,2005,35.6,CAUTION,YES,671745,"203,028","1,140,462",Greater Amberjack
FINAL,2006,48.6,CAUTION,YES,565934,"26,848","1,105,020",Greater Amberjack
FINAL,2007,20.4,YES,YES,387329,"232,460","542,199",Greater Amberjack
FINAL,2008,15.5,YES,YES,696967,"485,229","908,706",Greater Amberjack
FINAL,2009,14.7,YES,YES,487076,"346,739","627,412",Greater Amberjack
FINAL,2010,22.1,YES,YES,1345972,"762,951","1,928,994",Greater Amberjack
FINAL,2011,41.6,CAUTION,YES,784438,"144,839","1,424,037",Greater Amberjack
FINAL,2012,18.8,YES,YES,548526,"346,405","750,646",Greater Amberjack
FINAL,2013,25.7,YES,YES,793785,"393,940","1,193,631",Greater Amberjack
FINAL,2014,13,YES,YES,462535,"344,681","580,389",Greater Amberjack
FINAL,2015,13.8,YES,YES,674716,"492,219","857,213",Greater Amberjack
FINAL,2016,15.9,YES,YES,820345,"564,692","1,075,997",Greater Amberjack
FINAL,2017,15.8,YES,YES,379528,"261,996","497,060",Greater Amberjack
FINAL,2018,21.1,YES,YES,333332,"195,480","471,185",Greater Amberjack
