EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,42.9,CAUTION,YES,180196,"28,680","331,711",Flordia Pompano
FINAL,1988,17.9,YES,YES,390588,"253,554","527,622",Flordia Pompano
FINAL,1989,33.9,CAUTION,YES,952572,"319,645","1,585,500",Flordia Pompano
FINAL,1990,30.1,CAUTION,YES,1959831,"803,609","3,116,053",Flordia Pompano
FINAL,1991,32.1,CAUTION,YES,1281993,"475,414","2,088,572",Flordia Pompano
FINAL,1992,27.2,YES,YES,956318,"446,486","1,466,151",Flordia Pompano
FINAL,1993,25,YES,YES,769656,"392,524","1,146,787",Flordia Pompano
FINAL,1994,27.8,YES,YES,1448404,"659,198","2,237,611",Flordia Pompano
FINAL,1995,38.7,CAUTION,YES,1821177,"439,778","3,202,577",Flordia Pompano
FINAL,1996,29.4,YES,YES,1143123,"484,410","1,801,835",Flordia Pompano
FINAL,1997,25.2,YES,YES,2160907,"1,093,592","3,228,222",Flordia Pompano
FINAL,1998,14.1,YES,YES,3166001,"2,291,045","4,040,958",Flordia Pompano
FINAL,1999,18.2,YES,YES,4590897,"2,953,232","6,228,561",Flordia Pompano
FINAL,2000,14.9,YES,YES,3096899,"2,192,481","4,001,317",Flordia Pompano
FINAL,2001,22,YES,YES,4025802,"2,289,876","5,761,727",Flordia Pompano
FINAL,2002,13.8,YES,YES,2728543,"1,990,527","3,466,559",Flordia Pompano
FINAL,2003,26.5,YES,YES,5805882,"2,790,307","8,821,457",Flordia Pompano
FINAL,2004,24.7,YES,YES,7093458,"3,659,373","10,527,542",Flordia Pompano
FINAL,2005,31.9,CAUTION,YES,4497441,"1,685,461","7,309,422",Flordia Pompano
FINAL,2006,33.1,CAUTION,YES,3065166,"1,076,609","5,053,724",Flordia Pompano
FINAL,2007,16.2,YES,YES,3043169,"2,076,902","4,009,436",Flordia Pompano
FINAL,2008,28.6,YES,YES,5735565,"2,520,437","8,950,693",Flordia Pompano
FINAL,2009,17.9,YES,YES,1938142,"1,258,164","2,618,120",Flordia Pompano
FINAL,2010,18.8,YES,YES,3335710,"2,106,568","4,564,852",Flordia Pompano
FINAL,2011,38.8,CAUTION,YES,3675873,"880,445","6,471,301",Flordia Pompano
FINAL,2012,39.2,CAUTION,YES,4710476,"1,091,323","8,329,629",Flordia Pompano
FINAL,2013,18.3,YES,YES,2479854,"1,590,380","3,369,328",Flordia Pompano
FINAL,2014,37.7,CAUTION,YES,3083525,"805,047","5,362,003",Flordia Pompano
FINAL,2015,14.6,YES,YES,2248435,"1,605,023","2,891,847",Flordia Pompano
FINAL,2016,16.3,YES,YES,2014230,"1,370,724","2,657,737",Flordia Pompano
FINAL,2017,29,YES,YES,3713233,"1,602,631","5,823,835",Flordia Pompano
FINAL,2018,16,YES,YES,2343439,"1,608,537","3,078,342",Flordia Pompano
