EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,34.8,CAUTION,YES,1262385,"401,338","2,123,433",Gray Triggerfish
FINAL,1988,25.1,YES,YES,925954,"470,422","1,381,487",Gray Triggerfish
FINAL,1989,16.5,YES,YES,1823146,"1,233,541","2,412,752",Gray Triggerfish
FINAL,1990,31.6,CAUTION,YES,1811519,"689,536","2,933,501",Gray Triggerfish
FINAL,1991,23.7,YES,YES,2538135,"1,359,120","3,717,149",Gray Triggerfish
FINAL,1992,15.2,YES,YES,1608074,"1,128,996","2,087,151",Gray Triggerfish
FINAL,1993,18.5,YES,YES,1053385,"671,428","1,435,342",Gray Triggerfish
FINAL,1994,16.1,YES,YES,890798,"609,698","1,171,898",Gray Triggerfish
FINAL,1995,23.3,YES,YES,853809,"463,892","1,243,726",Gray Triggerfish
FINAL,1996,21.2,YES,YES,702400,"410,539","994,261",Gray Triggerfish
FINAL,1997,13.2,YES,YES,617344,"457,625","777,063",Gray Triggerfish
FINAL,1998,21.5,YES,YES,1030499,"596,247","1,464,752",Gray Triggerfish
FINAL,1999,11.6,YES,YES,751459,"580,608","922,311",Gray Triggerfish
FINAL,2000,19,YES,YES,460996,"289,321","632,671",Gray Triggerfish
FINAL,2001,13.4,YES,YES,661411,"487,698","835,124",Gray Triggerfish
FINAL,2002,26.3,YES,YES,1616933,"783,436","2,450,429",Gray Triggerfish
FINAL,2003,21.8,YES,YES,1840126,"1,053,877","2,626,374",Gray Triggerfish
FINAL,2004,17.2,YES,YES,1652132,"1,095,165","2,209,098",Gray Triggerfish
FINAL,2005,14.9,YES,YES,1015353,"718,829","1,311,876",Gray Triggerfish
FINAL,2006,13.9,YES,YES,986437,"717,692","1,255,183",Gray Triggerfish
FINAL,2007,12.1,YES,YES,1380742,"1,053,285","1,708,198",Gray Triggerfish
FINAL,2008,16.7,YES,YES,875424,"588,880","1,161,967",Gray Triggerfish
FINAL,2009,18.5,YES,YES,970140,"618,367","1,321,912",Gray Triggerfish
FINAL,2010,18.7,YES,YES,1107357,"701,489","1,513,226",Gray Triggerfish
FINAL,2011,14.4,YES,YES,1009749,"724,758","1,294,741",Gray Triggerfish
FINAL,2012,17.2,YES,YES,1068531,"708,308","1,428,754",Gray Triggerfish
FINAL,2013,20.6,YES,YES,1346810,"803,022","1,890,598",Gray Triggerfish
FINAL,2014,12.2,YES,YES,1302969,"991,403","1,614,536",Gray Triggerfish
FINAL,2015,17.4,YES,YES,2267501,"1,494,193","3,040,810",Gray Triggerfish
FINAL,2016,20.8,YES,YES,4758924,"2,818,806","6,699,043",Gray Triggerfish
FINAL,2017,13.7,YES,YES,3624324,"2,651,120","4,597,527",Gray Triggerfish
FINAL,2018,25.3,YES,YES,2601794,"1,311,616","3,891,972",Gray Triggerfish
