EstimateStatus,Year,PSE_TotalCatch,Total_Catch_Meet_MRIP,TotalCatch_DifferentThan_0,TotalCatch,TotalCatch_Lower95%_CL,TotalCatch_Upper95%_CL,Name
FINAL,1987,21.7,YES,YES,1081529,621533,1541525,Red Snapper
FINAL,1988,36.1,CAUTION,YES,1476625,431824,2521426,Red Snapper
FINAL,1989,23.8,YES,YES,1193520,636767,1750274,Red Snapper
FINAL,1990,30.2,CAUTION,YES,460803,188045,733562,Red Snapper
FINAL,1991,19.9,YES,YES,690839,421384,960293,Red Snapper
FINAL,1992,23.3,YES,YES,907228,492915,1321541,Red Snapper
FINAL,1993,24.5,YES,YES,1619208,841664,2396751,Red Snapper
FINAL,1994,27.6,YES,YES,1028852,472284,1585419,Red Snapper
FINAL,1995,31,CAUTION,YES,630569,247435,1013703,Red Snapper
FINAL,1996,23.3,YES,YES,1282508,696813,1868204,Red Snapper
FINAL,1997,25.3,YES,YES,2152183,1084959,3219408,Red Snapper
FINAL,1998,14,YES,YES,2368264,1718412,3018115,Red Snapper
FINAL,1999,13.8,YES,YES,4233745,3088601,5378888,Red Snapper
FINAL,2000,16.2,YES,YES,2914674,1989207,3840141,Red Snapper
FINAL,2001,17.4,YES,YES,4972811,3276884,6668739,Red Snapper
FINAL,2002,19.2,YES,YES,6112959,3812530,8413388,Red Snapper
FINAL,2003,14.2,YES,YES,5247687,3787151,6708223,Red Snapper
FINAL,2004,15.7,YES,YES,6230357,4313151,8147562,Red Snapper
FINAL,2005,16.8,YES,YES,3979213,2668938,5289488,Red Snapper
FINAL,2006,13.8,YES,YES,5012308,3656579,6368037,Red Snapper
FINAL,2007,11.7,YES,YES,7202535,5550850,8854220,Red Snapper
FINAL,2008,12.8,YES,YES,5950704,4457791,7443616,Red Snapper
FINAL,2009,12.2,YES,YES,5248565,3993528,6503602,Red Snapper
FINAL,2010,17.4,YES,YES,4726765,3114749,6338781,Red Snapper
FINAL,2011,29.8,YES,YES,5195142,2160764,8229521,Red Snapper
FINAL,2012,13.6,YES,YES,4880003,3579189,6180816,Red Snapper
FINAL,2013,19.1,YES,YES,5383309,3368014,7398605,Red Snapper
FINAL,2014,16,YES,YES,3479073,2388036,4570110,Red Snapper
FINAL,2015,17.8,YES,YES,3502735,2280701,4724770,Red Snapper
FINAL,2016,14.7,YES,YES,6638145,4725563,8550727,Red Snapper
FINAL,2017,13.7,YES,YES,9312150,6811652,11812649,Red Snapper
FINAL,2018,12.5,YES,YES,9260789,6991896,11529682,Red Snapper
